,Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Year,Month,Delta,Price_Delta
0,2015-01-01,151.03,3.93,,1.0010000000000003,,2015,1,,
1,2015-01-02,138.923,17.151,0.27899999999999997,0.7390000000000001,17.430000000000003,2015,1,121.493,89783327.00000001
2,2015-01-03,130.69099999999997,15.712000000000002,0.321,0.468,16.033,2015,1,114.65799999999997,53659943.999999985
3,2015-01-04,125.123,37.943000000000005,0.22400000000000006,0.3300000000000001,38.167,2015,1,86.956,28695480.00000001
4,2015-01-05,162.381,35.962999999999994,0.276,0.9310000000000004,36.239000000000004,2015,1,126.142,117438202.00000004
5,2015-01-06,142.782,11.081,0.307,0.9100000000000004,11.388,2015,1,131.394,119568540.00000004
6,2015-01-07,174.63400000000001,9.573,0.27899999999999997,0.9190000000000004,9.852,2015,1,164.782,151434658.00000006
7,2015-01-08,179.726,9.085,0.32299999999999995,0.6340000000000002,9.408,2015,1,170.318,107981612.00000004
8,2015-01-09,152.726,29.241999999999997,0.514,0.4330000000000001,29.756,2015,1,122.97,53246010.000000015
9,2015-01-10,137.93099999999998,37.102,0.627,0.19399999999999998,37.72899999999999,2015,1,100.202,19439187.999999996
10,2015-01-11,136.29000000000002,34.88099999999999,0.35700000000000004,-0.02200000000000002,35.238,2015,1,101.05200000000002,-2223144.0000000023
11,2015-01-12,172.01699999999997,27.01400000000001,0.505,0.4570000000000002,27.51900000000001,2015,1,144.49799999999996,66035586.00000001
12,2015-01-13,182.59000000000003,8.032,0.7380000000000001,0.6700000000000003,8.77,2015,1,173.82000000000002,116459400.00000006
13,2015-01-14,186.273,10.505,0.5770000000000001,0.7220000000000003,11.082,2015,1,175.191,126487902.00000006
14,2015-01-15,198.304,18.892,0.529,0.6010000000000003,19.421000000000006,2015,1,178.88299999999998,107508683.00000004
15,2015-01-16,191.444,15.786,0.6809999999999999,0.8500000000000002,16.467000000000002,2015,1,174.97699999999998,148730450.00000003
16,2015-01-17,169.509,18.186,0.4370000000000001,0.7620000000000003,18.623,2015,1,150.886,114975132.00000004
17,2015-01-18,166.71800000000005,3.236,0.499,0.6500000000000002,3.735,2015,1,162.98300000000003,105938950.00000006
18,2015-01-19,167.625,0.33,0.441,1.0070000000000003,0.7710000000000001,2015,1,166.854,168021978.00000006
19,2015-01-20,182.49,6.02,0.34400000000000003,,6.364,2015,1,176.126,
20,2015-01-21,160.27799999999996,3.884,0.652,,4.5360000000000005,2015,1,155.74199999999996,
21,2015-01-22,165.65900000000002,8.327,0.5700000000000001,,8.896999999999998,2015,1,156.76200000000003,
22,2015-01-23,169.637,25.999000000000002,0.535,,26.534,2015,1,143.103,
23,2015-01-24,154.982,39.795,0.395,0.7550000000000003,40.18999999999999,2015,1,114.792,86667960.00000004
24,2015-01-25,151.094,35.787,0.361,0.6840000000000002,36.148,2015,1,114.946,78623064.00000001
25,2015-01-26,179.65000000000003,8.305,0.6459999999999999,0.8480000000000002,8.951,2015,1,170.69900000000004,144752752.00000006
26,2015-01-27,175.93599999999998,12.684,0.506,0.8240000000000002,13.190000000000005,2015,1,162.74599999999998,134102704.00000001
27,2015-01-28,182.834,14.769,0.7020000000000001,0.6560000000000002,15.470999999999998,2015,1,167.363,109790128.00000004
28,2015-01-29,179.75400000000005,16.017,0.47,0.657,16.486999999999995,2015,1,163.26700000000005,107266419.00000003
29,2015-01-30,160.02400000000003,26.531999999999996,0.34600000000000003,0.9120000000000004,26.878000000000004,2015,1,133.14600000000002,121429152.00000006
30,2015-01-31,149.993,7.699000000000002,0.634,0.7260000000000004,8.333000000000002,2015,1,141.66,102845160.00000006
31,2015-02-01,167.22299999999996,2.1590000000000003,0.5940000000000001,0.5990000000000002,2.753,2015,2,164.46999999999997,98517530.00000001
32,2015-02-02,203.909,8.308,0.621,0.7750000000000001,8.929,2015,2,194.98,151109500.0
33,2015-02-03,201.243,5.983,0.88,1.12,6.8629999999999995,2015,2,194.38,217705600.0
34,2015-02-04,199.18500000000003,5.8039999999999985,0.753,1.154,6.557,2015,2,192.62800000000004,222292712.00000006
35,2015-02-05,185.68400000000003,8.553999999999998,0.562,1.0590000000000004,9.116,2015,2,176.56800000000004,186985512.00000012
36,2015-02-06,188.9,26.1,0.6020000000000001,0.9850000000000004,26.702,2015,2,162.198,159765030.0000001
37,2015-02-07,178.83499999999995,20.962000000000003,0.933,1.2919999999999998,21.895000000000003,2015,2,156.93999999999994,202766479.99999988
38,2015-02-08,166.75600000000003,42.31199999999999,0.7920000000000001,0.934,43.10399999999999,2015,2,123.65200000000004,115490968.00000004
39,2015-02-09,203.36,40.398,0.5660000000000001,1.666,40.964,2015,2,162.39600000000002,270551736.0
40,2015-02-10,200.354,37.819,0.68,1.0010000000000003,38.49899999999999,2015,2,161.85500000000002,162016855.0000001
41,2015-02-11,207.546,7.087000000000001,1.252,1.13,8.339000000000002,2015,2,199.207,225103910.0
42,2015-02-12,198.889,14.690999999999995,0.9690000000000001,1.0870000000000002,15.659999999999995,2015,2,183.229,199169923.00000006
43,2015-02-13,191.06599999999997,21.313000000000002,1.232,0.9590000000000004,22.545,2015,2,168.52099999999996,161611639.00000003
44,2015-02-14,170.59899999999996,24.635,1.4280000000000002,0.7460000000000004,26.062999999999995,2015,2,144.53599999999997,107823856.00000004
45,2015-02-15,161.23800000000003,17.996,1.465,0.6170000000000002,19.461,2015,2,141.77700000000004,87476409.00000006
46,2015-02-16,190.153,8.838,1.6570000000000005,0.8300000000000002,10.495,2015,2,179.658,149116140.00000003
47,2015-02-17,191.19100000000003,18.441,1.605,1.0610000000000002,20.046,2015,2,171.14500000000004,181584845.0000001
48,2015-02-18,199.332,1.0630000000000002,1.5119999999999998,1.0020000000000004,2.575,2015,2,196.757,197150514.0000001
49,2015-02-19,194.90200000000002,0.7879999999999999,1.6380000000000003,0.8740000000000003,2.426,2015,2,192.47600000000003,168224024.0000001
50,2015-02-20,193.937,10.672,1.8030000000000002,0.7920000000000005,12.475,2015,2,181.46200000000002,143717904.0000001
51,2015-02-21,158.34,31.881999999999998,1.8519999999999999,0.6780000000000003,33.733999999999995,2015,2,124.60600000000001,84482868.00000003
52,2015-02-22,161.366,11.642,0.996,0.6520000000000004,12.638,2015,2,148.728,96970656.00000006
53,2015-02-23,193.563,8.045,1.274,0.6730000000000002,9.318999999999999,2015,2,184.244,123996212.00000001
54,2015-02-24,200.949,11.102,0.932,0.7900000000000004,12.034,2015,2,188.91500000000002,149242850.0000001
55,2015-02-25,197.271,38.307,1.119,1.0280000000000005,39.426,2015,2,157.84499999999997,162264660.00000003
56,2015-02-26,200.152,20.02299999999999,1.61,0.9310000000000004,21.633,2015,2,178.51899999999998,166201189.00000003
57,2015-02-27,196.183,5.941999999999998,2.076,0.9740000000000004,8.017999999999999,2015,2,188.165,183272710.0000001
58,2015-02-28,176.43300000000005,9.02,1.4480000000000002,0.7020000000000004,10.468,2015,2,165.96500000000006,116507430.0000001
59,2015-03-01,154.194,5.879999999999999,1.3369999999999995,0.298,7.2170000000000005,2015,3,146.97699999999998,43799145.99999999
60,2015-03-02,185.29500000000004,19.225,1.1640000000000001,0.6850000000000003,20.389,2015,3,164.90600000000003,112960610.00000006
61,2015-03-03,185.633,29.005000000000006,1.771,0.6900000000000003,30.77600000000001,2015,3,154.857,106851330.00000003
62,2015-03-04,198.95500000000004,15.775,1.3489999999999998,0.7070000000000003,17.124000000000002,2015,3,181.83100000000005,128554517.00000009
63,2015-03-05,202.383,21.344,1.4529999999999998,0.9300000000000004,22.797,2015,3,179.586,167014980.0000001
64,2015-03-06,195.234,16.250000000000004,1.5510000000000002,0.8910000000000003,17.801,2015,3,177.43300000000002,158092803.0000001
65,2015-03-07,172.57899999999995,2.2869999999999995,1.903,0.6250000000000002,4.190000000000001,2015,3,168.38899999999995,105243125.00000001
66,2015-03-08,152.539,7.091999999999999,2.0380000000000003,0.4980000000000001,9.13,2015,3,143.409,71417682.00000001
67,2015-03-09,191.44199999999995,14.960000000000004,1.6440000000000001,0.9150000000000004,16.604,2015,3,174.83799999999997,159976770.00000003
68,2015-03-10,190.323,3.2560000000000002,1.982,0.9020000000000004,5.238,2015,3,185.085,166946670.00000006
69,2015-03-11,192.362,33.038000000000004,1.272,0.8620000000000004,34.309999999999995,2015,3,158.052,136240824.00000006
70,2015-03-12,189.73900000000003,40.09,1.76,0.9140000000000004,41.85,2015,3,147.88900000000004,135170546.0000001
71,2015-03-13,190.39500000000007,23.800000000000004,1.995,0.8850000000000003,25.795,2015,3,164.60000000000008,145671000.00000012
72,2015-03-14,165.99799999999996,5.111000000000001,2.019,0.7310000000000004,7.129999999999997,2015,3,158.86799999999997,116132508.00000004
73,2015-03-15,152.18900000000005,13.795,2.367,0.4810000000000001,16.162,2015,3,136.02700000000004,65428987.00000004
74,2015-03-16,187.70999999999995,22.483,2.123,0.6650000000000003,24.605999999999998,2015,3,163.10399999999996,108464160.00000001
75,2015-03-17,182.673,7.93,2.63,0.8380000000000004,10.56,2015,3,172.113,144230694.0000001
76,2015-03-18,187.498,6.738,2.709,0.8440000000000004,9.447,2015,3,178.051,150275044.00000006
77,2015-03-19,185.666,2.1949999999999994,2.962,0.9380000000000004,5.156999999999999,2015,3,180.509,169317442.00000006
78,2015-03-20,181.89000000000004,2.61,2.7980000000000005,0.8760000000000003,5.4079999999999995,2015,3,176.48200000000006,154598232.00000012
79,2015-03-21,167.15300000000005,2.6670000000000003,2.501,0.7090000000000003,5.168000000000001,2015,3,161.98500000000004,114847365.00000009
80,2015-03-22,143.92499999999995,19.299000000000003,2.081,0.621,21.380000000000006,2015,3,122.54499999999994,76100444.99999997
81,2015-03-23,177.79700000000003,9.069,2.75,0.8830000000000005,11.819,2015,3,165.97800000000004,146558574.00000012
82,2015-03-24,181.012,22.391,2.8290000000000006,1.041,25.22,2015,3,155.792,162179471.99999997
83,2015-03-25,178.27300000000002,18.479,2.2430000000000003,0.9450000000000004,20.721999999999998,2015,3,157.55100000000002,148885695.00000006
84,2015-03-26,174.945,10.646999999999998,1.909,0.9770000000000004,12.556,2015,3,162.38899999999998,158654053.00000006
85,2015-03-27,165.68000000000004,40.30900000000001,1.864,0.8220000000000004,42.173,2015,3,123.50700000000003,101522754.00000007
86,2015-03-28,153.32399999999996,33.43,2.4319999999999995,0.6430000000000003,35.86199999999999,2015,3,117.46199999999996,75528066.00000001
87,2015-03-29,139.33100000000002,8.168000000000001,2.4210000000000003,,10.589000000000002,2015,3,128.74200000000002,
88,2015-03-30,166.428,28.973000000000003,1.8320000000000003,0.5160000000000001,30.805,2015,3,135.623,69981468.00000001
89,2015-03-31,169.28400000000005,36.702,1.9509999999999998,0.4880000000000002,38.653,2015,3,130.63100000000006,63747928.00000006
90,2015-04-01,185.38299999999998,40.431,2.3520000000000003,0.43000000000000016,42.783,2015,4,142.59999999999997,61318000.00000001
91,2015-04-02,185.084,37.09700000000001,2.072,0.7330000000000003,39.169000000000004,2015,4,145.915,106955695.00000004
92,2015-04-03,164.146,28.102999999999994,2.9439999999999995,0.6970000000000003,31.047,2015,4,133.099,92770003.00000003
93,2015-04-04,158.997,2.407,2.419,0.7730000000000004,4.8260000000000005,2015,4,154.17100000000002,119174183.00000007
94,2015-04-05,147.70399999999995,14.663,2.595,0.561,17.258000000000006,2015,4,130.44599999999994,73180205.99999997
95,2015-04-06,147.13399999999996,25.177,2.436,0.5400000000000001,27.613000000000003,2015,4,119.52099999999996,64541339.99999999
96,2015-04-07,183.994,36.24800000000001,2.814,0.8040000000000004,39.06200000000001,2015,4,144.932,116525328.00000004
97,2015-04-08,183.45,32.55800000000001,2.66,0.9790000000000004,35.21800000000001,2015,4,148.23199999999997,145119128.00000003
98,2015-04-09,179.63700000000009,10.46,3.5169999999999995,0.9830000000000004,13.977000000000002,2015,4,165.66000000000008,162843780.00000015
99,2015-04-10,165.90900000000002,14.974,3.613,0.8960000000000004,18.587,2015,4,147.32200000000003,132000512.00000007
100,2015-04-11,143.359,7.235000000000001,2.979,0.5610000000000003,10.214,2015,4,133.145,74694345.00000003
101,2015-04-12,127.732,13.582000000000004,3.12,0.516,16.701999999999998,2015,4,111.03,57291480.0
102,2015-04-13,158.174,18.509,3.2789999999999995,0.7490000000000003,21.788,2015,4,136.386,102153114.00000004
103,2015-04-14,166.74099999999999,10.697000000000001,3.0349999999999997,0.7830000000000004,13.732000000000001,2015,4,153.009,119806047.00000004
104,2015-04-15,162.765,13.304999999999994,3.65,0.6660000000000003,16.955000000000002,2015,4,145.80999999999997,97109460.00000001
105,2015-04-16,160.375,15.215999999999998,3.51,0.8460000000000003,18.726,2015,4,141.649,119835054.00000004
106,2015-04-17,171.73600000000005,8.736999999999998,2.254,0.8800000000000002,10.991,2015,4,160.74500000000006,141455600.0000001
